index,Year,Type,Mileage(miles),Engine,PS,Transmission,Fuel,Number_of_Owners,href,PPY,MileageRank,PriceRank,PPYRank,Score,Price(£)
48,2015.0,Hatchback,54000.0,1.4L,123.2741617357002,Manual,Petrol,3,https://www.autotrader.co.uk/car-details/202208178884874?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5&percentVehiclePriceDeposit=true,3166.333333333333,156,383,148,687,9499.0
50,2015.0,Hatchback,71845.0,1.4L,123.2741617357002,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202209139705891?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,2898.333333333333,75,416,202,693,8695.0
53,2015.0,Hatchback,61161.0,1.6L,114.39842209072978,Manual,Diesel,2,https://www.autotrader.co.uk/car-details/202209139708262?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,3198.333333333333,121,381,144,646,9595.0
56,2017.0,Hatchback,22000.0,1.4L,123.2741617357002,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202207197933466?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,2599.0,368,218,305,891,12995.0
57,2014.0,Hatchback,44652.0,1.6L,103.55029585798816,Manual,Diesel,1,https://www.autotrader.co.uk/car-details/202207258106971?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,3875.0,208,443,63,714,7750.0
58,2014.0,Hatchback,61550.0,1.4L,182.4457593688363,Automatic,Petrol,6,https://www.autotrader.co.uk/car-details/202211221897322?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,5500.0,119,310,15,444,11000.0
60,2015.0,Hatchback,45121.0,1.0L,93.68836291913216,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212142525379?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,3525.0,205,337,96,638,10575.0
61,2019.0,Hatchback,18487.0,1.0L,114.39842209072978,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202212232736003?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,2771.285714285714,392,73,246,711,19399.0
62,2014.0,Hatchback,80137.0,1.6L,103.55029585798816,Manual,Diesel,2,https://www.autotrader.co.uk/car-details/202210010298332?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,3497.5,47,458,101,606,6995.0
64,2016.0,Hatchback,28350.0,1.0L,93.68836291913216,Manual,Petrol,3,https://www.autotrader.co.uk/car-details/202209109630049?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,2722.5,325,325,261,911,10890.0
65,2016.0,Hatchback,81094.0,1.4L,147.92899408284023,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212032249520?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,2737.5,45,323,258,626,10950.0
66,2014.0,Hatchback,102525.0,1.6L,103.55029585798816,Manual,Diesel,4,https://www.autotrader.co.uk/car-details/202209119651805?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,3672.5,16,454,89,559,7345.0
72,2015.0,Hatchback,37392.0,1.0L,93.68836291913216,Automatic,Petrol,2,https://www.autotrader.co.uk/car-details/202212102431527?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=8,3931.6666666666665,257,273,62,592,11795.0
74,2015.0,Hatchback,107000.0,1.0L,93.68836291913216,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202210190879920?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=8,2600.0,9,441,301,751,7800.0
75,2018.0,Hatchback,45027.0,1.0L,93.0,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202209270163063?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=8,2050.0,206,244,451,901,12300.0
79,2019.0,Hatchback,47700.0,1.0L,114.39842209072978,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202211181805940?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=8,2213.5714285714284,193,154,427,774,15495.0
84,2017.0,Hatchback,40266.0,1.4L,123.2741617357002,Automatic,Petrol,4,https://www.autotrader.co.uk/car-details/202212022229956?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=9,2998.0,234,165,179,578,14990.0
95,2014.0,Hatchback,45203.0,1.4L,122.0,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212222718993?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=10,5201.5,204,347,22,573,10403.0
96,2015.0,Hatchback,40000.0,1.4L,120.3155818540434,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202211201848910?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=10,4046.0,240,249,56,545,12138.0
99,2014.0,Hatchback,59000.0,1.4L,120.3155818540434,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212082381700?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=10,4995.0,128,368,24,520,9990.0
101,2019.0,Hatchback,42327.0,1.0L,114.39842209072978,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202211081492305?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=11,2185.714285714286,223,156,433,812,15300.0
103,2014.0,Hatchback,62000.0,1.6L,103.55029585798816,Manual,Diesel,3,https://www.autotrader.co.uk/car-details/202212122468769?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=11,3995.0,115,437,60,612,7990.0
104,2017.0,Hatchback,20141.0,1.4L,123.2741617357002,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202210130697300?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=11,2818.8,380,191,229,800,14094.0
108,2020.0,Hatchback,35533.0,1.0L,114.39842209072978,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202210150751438?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=11,2186.875,275,115,432,822,17495.0
109,2014.0,Hatchback,71700.0,1.4L,138.06706114398423,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212182610967?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=11,5000.0,76,359,23,458,10000.0
110,2014.0,Hatchback,34802.0,1.4L,121.0,Automatic,Petrol,2,https://www.autotrader.co.uk/car-details/202207298254094?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=12,6247.5,278,235,3,516,12495.0
118,2014.0,Hatchback,27879.0,1.4L,120.3155818540434,Automatic,Petrol,2,https://www.autotrader.co.uk/car-details/202210120654436?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=13,6245.0,331,239,4,574,12490.0
119,2016.0,Hatchback,62000.0,1.4L,123.2741617357002,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202212202660017?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=13,2372.5,113,387,382,882,9490.0
121,2019.0,Hatchback,10761.0,1.0L,114.39842209072978,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202212202661823?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=13,3499.8571428571427,435,20,99,554,24499.0
122,2015.0,Hatchback,69000.0,1.4L,147.92899408284023,Automatic,Petrol,2,https://www.autotrader.co.uk/car-details/202212222726532?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=13,3833.3333333333335,89,280,67,436,11500.0
126,2017.0,Hatchback,77069.0,1.4L,123.2741617357002,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212142522475?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=13,1899.0,56,385,463,904,9495.0
136,2014.0,Hatchback,26700.0,1.4L,120.3155818540434,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202212062317961?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=14,5647.5,337,300,11,648,11295.0
137,2016.0,Hatchback,74367.0,1.6L,114.39842209072978,Automatic,Diesel,1,https://www.autotrader.co.uk/car-details/202210251064019?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=14,2687.5,60,331,277,668,10750.0
138,2016.0,Hatchback,78890.0,1.0L,93.68836291913216,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202210080542814?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=15,2248.75,52,402,417,871,8995.0
145,2018.0,Hatchback,26041.0,1.0L,94.0,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202211141658702?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&model=A1&postcode=br49jd&year-to=2022&sort=relevance&page=15,2383.333333333333,343,187,377,907,14300.0
150,2016.0,Hatchback,25323.0,1.0L,94.0,Manual,Petrol,3,https://www.autotrader.co.uk/car-details/202211292100355?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=16,3150.0,348,229,151,728,12600.0
151,2019.0,Hatchback,34000.0,1.0L,114.0,Automatic,Petrol,1,https://www.autotrader.co.uk/car-details/202212222714794?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=16,2499.285714285714,283,117,337,737,17495.0
152,2017.0,Hatchback,39796.0,1.4L,123.2741617357002,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202212032249654?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=16,2694.0,243,210,274,727,13470.0
156,2016.0,Hatchback,60333.0,1.4L,123.0,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212082368322?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=16,2950.0,123,269,188,580,11800.0
158,2016.0,Hatchback,61696.0,1.4L,123.2741617357002,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202210140732477?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=17&percentVehiclePriceDeposit=true,3000.0,118,251,169,538,12000.0
159,2014.0,Hatchback,54086.0,1.2L,84.81262327416174,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202212032249011?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=17&percentVehiclePriceDeposit=true,4225.0,155,426,44,625,8450.0
160,2015.0,Hatchback,34000.0,1.4L,123.0,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202211011265517?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=17&percentVehiclePriceDeposit=true,4163.333333333333,284,237,48,569,12490.0
163,2016.0,Hatchback,88098.0,1.4L,147.92899408284023,Manual,Petrol,4,https://www.autotrader.co.uk/car-details/202211111575327?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=17&percentVehiclePriceDeposit=true,2862.5,38,294,214,546,11450.0
165,2020.0,Hatchback,57279.0,1.0L,114.39842209072978,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202209270167096?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=17,1898.625,132,157,464,753,15189.0
167,2017.0,Hatchback,46600.0,1.4L,123.0,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212242757485?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=17&percentVehiclePriceDeposit=true,2460.0,198,243,357,798,12300.0
168,2014.0,Hatchback,64207.0,1.6L,104.0,Manual,Diesel,1,https://www.autotrader.co.uk/car-details/202212022226694?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=18&percentVehiclePriceDeposit=true,4297.5,102,419,40,561,8595.0
169,2020.0,Hatchback,12433.0,1.5L,147.92899408284023,Manual,Petrol,1,https://www.autotrader.co.uk/car-details/202210311247941?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=18&percentVehiclePriceDeposit=true,2724.875,426,31,260,717,21799.0
171,2014.0,Hatchback,52000.0,1.4L,120.3155818540434,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202212142515891?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=18&percentVehiclePriceDeposit=true,4199.5,165,427,45,637,8399.0
174,2017.0,Hatchback,50573.0,1.4L,123.2741617357002,Manual,Petrol,2,https://www.autotrader.co.uk/car-details/202211141679834?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=18,2358.0,179,274,387,840,11790.0
